User Music Data
Size = 42
StartTime EndTime Note Velocity
0 479 60 0
480 959 60 0
960 1439 67 0
1440 1919 67 0
1920 2399 69 0
2400 2879 69 0
2880 3839 67 0
3840 4319 65 0
4320 4799 65 0
4800 5279 64 0
5280 5759 64 0
5760 6239 62 0
6240 6719 62 0
6720 7679 60 0
7680 8159 67 0
8160 8639 67 0
8640 9119 65 0
9120 9599 65 0
9600 10079 64 0
10080 10559 64 0
10560 11519 62 0
11520 11999 67 0
12000 12479 67 0
12480 12959 65 0
12960 13439 65 0
13440 13919 64 0
13920 14399 64 0
14400 15359 62 0
15360 15839 60 0
15840 16319 60 0
16320 16799 67 0
16800 17279 67 0
17280 17759 69 0
17760 18239 69 0
18240 19199 67 0
19200 19679 65 0
19680 20159 65 0
20160 20639 64 0
20640 21119 64 0
21120 21599 62 0
21600 22079 62 0
22080 23039 60 0

Sheet Music Data
Size = 42
StartTime EndTime Note Velocity
0 479 61 0
480 959 60 0
960 1439 67 0
1440 1919 67 0
1920 2399 69 0
2400 2879 69 0
2880 3839 67 0
3840 4319 65 0
4320 4799 65 0
4800 5279 64 0
5280 5759 64 0
5760 6239 62 0
6240 6719 62 0
6720 7679 60 0
7680 8159 67 0
8160 8639 67 0
8640 9119 65 0
9120 9599 65 0
9600 10079 64 0
10080 10559 64 0
10560 11519 62 0
11520 11999 67 0
12000 12479 67 0
12480 12959 65 0
12960 13439 65 0
13440 13919 64 0
13920 14399 64 0
14400 15359 62 0
15360 15839 60 0
15840 16319 60 0
16320 16799 67 0
16800 17279 67 0
17280 17759 69 0
17760 18239 69 0
18240 19199 67 0
19200 19679 65 0
19680 20159 65 0
20160 20639 64 0
20640 21119 64 0
21120 21599 62 0
21600 22079 62 0
22080 23039 60 0

Similarity Score = 0.0000057069
