User Music Data
Size = 27
StartTime EndTime Note Velocity
0 496 C4 93
496 639 C5 0
639 807 C4 0
807 879 C5 0
879 935 C5 40
935 966 C5 0
966 1094 C4 0
1099 1135 C3 43
1135 1206 C3 0
1206 1226 C4 97
1226 1359 C5 0
1359 1788 C4 0
1788 1839 E4 88
1839 2121 E6 39
2126 2157 E6 0
2157 2402 E4 0
2402 2443 C4 96
2448 2545 C5 0
2545 2744 C4 0
2749 2867 C5 0
2867 3020 C4 0
3020 3046 G4 96
3046 3092 C3 45
3092 3148 C3 0
3148 3178 C4 96
3178 3368 C5 0
3368 3991 C4 0

Sheet Music Data
Size = 13
StartTime EndTime Note Velocity
0 1024 A4 90
1024 2048 F4 90
2048 3072 D4 90
3072 4096 G4 90
4096 5120 E4 90
5120 6144 G4 90
6144 7168 E4 90
7168 7680 D4 90
7680 8192 C4 90
8192 9216 A4 90
9216 10240 F4 90
10240 11264 D4 90
11264 11776 C4 90

Similarity Score = 0.6721363660
